Địa chỉ,Diện tích,Giá,Trang
"Quận 8,  TP Hồ Chí Minh","59,5 m2","1,05 Tỷ",4
"Quận Nam Từ Liêm,  Hà Nội",80 m2,"22,5 Tỷ",4
"Quận Bình Thạnh,  TP Hồ Chí Minh",65 m2,950 Triệu,4
"Quận 7,  TP Hồ Chí Minh",60 m2,"1,69 Tỷ",4
"Huyện Bình Chánh,  TP Hồ Chí Minh",85 m2,970 Triệu,4
"Quận Gò Vấp,  TP Hồ Chí Minh",60 m2,"1,46 Tỷ",4
"Quận 7,  TP Hồ Chí Minh",58 m2,"1,22 Tỷ",4
"Quận Bình Thạnh,  TP Hồ Chí Minh","73,2 m2","18,5 Tỷ",4
"Quận Hà Đông,  Hà Nội",94 m2,23 Tỷ,4
"Quận Tây Hồ,  Hà Nội",267 m2,25 Tỷ,4
"Văn Giang,  tỉnh Hưng Yên",28 - 112 m2,"1,9 - 6,5 Tỷ",5
"Quận Bình Thạnh,  TP Hồ Chí Minh",50 m2,2 Tỷ,5
"Quận 10,  TP Hồ Chí Minh",63 m2,970 Triệu,5
"quận Ninh Kiều,  thành phố Cần Thơ",70 m2,"1,5 Tỷ",5
"Thành phố Quy Nhơn,  Bình Định",50 - 96 m2,"2,4 - 7,9 Tỷ",5
"Thành phố Quy Nhơn,  Bình Định",70 - 150 m2,"5,2 - 10 Tỷ",5
"Thành phố Quy Nhơn,  Bình Định",35 - 58 m2,499 - 1024 Triệu,5
"Huyện Bình Chánh,  TP Hồ Chí Minh",97 m2,"1,2 Tỷ",5
"Quận 8,  TP Hồ Chí Minh","59,5 m2","1,05 Tỷ",5
"Quận Nam Từ Liêm,  Hà Nội",80 m2,"22,5 Tỷ",5
"Quận Bình Thạnh,  TP Hồ Chí Minh",65 m2,950 Triệu,5
"Quận 7,  TP Hồ Chí Minh",60 m2,"1,69 Tỷ",5
"Huyện Bình Chánh,  TP Hồ Chí Minh",85 m2,970 Triệu,5
"Quận Gò Vấp,  TP Hồ Chí Minh",60 m2,"1,46 Tỷ",5
"Quận 7,  TP Hồ Chí Minh",58 m2,"1,22 Tỷ",5
"Quận Bình Thạnh,  TP Hồ Chí Minh","73,2 m2","18,5 Tỷ",5
"Quận Hà Đông,  Hà Nội",94 m2,23 Tỷ,5
"Quận Tây Hồ,  Hà Nội",267 m2,25 Tỷ,5
"Văn Giang,  tỉnh Hưng Yên",28 - 112 m2,"1,9 - 6,5 Tỷ",6
"Quận Bình Thạnh,  TP Hồ Chí Minh",50 m2,2 Tỷ,6
"Quận 10,  TP Hồ Chí Minh",63 m2,970 Triệu,6
"quận Ninh Kiều,  thành phố Cần Thơ",70 m2,"1,5 Tỷ",6
"Thành phố Quy Nhơn,  Bình Định",50 - 96 m2,"2,4 - 7,9 Tỷ",6
"Thành phố Quy Nhơn,  Bình Định",70 - 150 m2,"5,2 - 10 Tỷ",6
"Thành phố Quy Nhơn,  Bình Định",35 - 58 m2,499 - 1024 Triệu,6
"Huyện Bình Chánh,  TP Hồ Chí Minh",97 m2,"1,2 Tỷ",6
"Quận 8,  TP Hồ Chí Minh","59,5 m2","1,05 Tỷ",6
"Quận Nam Từ Liêm,  Hà Nội",80 m2,"22,5 Tỷ",6
"Quận Bình Thạnh,  TP Hồ Chí Minh",65 m2,950 Triệu,6
"Quận 7,  TP Hồ Chí Minh",60 m2,"1,69 Tỷ",6
"Huyện Bình Chánh,  TP Hồ Chí Minh",85 m2,970 Triệu,6
"Quận Gò Vấp,  TP Hồ Chí Minh",60 m2,"1,46 Tỷ",6
"Quận 7,  TP Hồ Chí Minh",58 m2,"1,22 Tỷ",6
"Quận Bình Thạnh,  TP Hồ Chí Minh","73,2 m2","18,5 Tỷ",6
"Quận Hà Đông,  Hà Nội",94 m2,23 Tỷ,6
"Quận Tây Hồ,  Hà Nội",267 m2,25 Tỷ,6
"Văn Giang,  tỉnh Hưng Yên",28 - 112 m2,"1,9 - 6,5 Tỷ",7
"Quận Bình Thạnh,  TP Hồ Chí Minh",50 m2,2 Tỷ,7
"Quận 10,  TP Hồ Chí Minh",63 m2,970 Triệu,7
"quận Ninh Kiều,  thành phố Cần Thơ",70 m2,"1,5 Tỷ",7
"Thành phố Quy Nhơn,  Bình Định",50 - 96 m2,"2,4 - 7,9 Tỷ",7
"Thành phố Quy Nhơn,  Bình Định",70 - 150 m2,"5,2 - 10 Tỷ",7
"Thành phố Quy Nhơn,  Bình Định",35 - 58 m2,499 - 1024 Triệu,7
"Huyện Bình Chánh,  TP Hồ Chí Minh",97 m2,"1,2 Tỷ",7
"Quận 8,  TP Hồ Chí Minh","59,5 m2","1,05 Tỷ",7
"Quận Nam Từ Liêm,  Hà Nội",80 m2,"22,5 Tỷ",7
"Quận Bình Thạnh,  TP Hồ Chí Minh",65 m2,950 Triệu,7
"Quận 7,  TP Hồ Chí Minh",60 m2,"1,69 Tỷ",7
"Huyện Bình Chánh,  TP Hồ Chí Minh",85 m2,970 Triệu,7
"Quận Gò Vấp,  TP Hồ Chí Minh",60 m2,"1,46 Tỷ",7
"Quận 7,  TP Hồ Chí Minh",58 m2,"1,22 Tỷ",7
"Quận Bình Thạnh,  TP Hồ Chí Minh","73,2 m2","18,5 Tỷ",7
"Quận Hà Đông,  Hà Nội",94 m2,23 Tỷ,7
"Quận Tây Hồ,  Hà Nội",267 m2,25 Tỷ,7
"Văn Giang,  tỉnh Hưng Yên",28 - 112 m2,"1,9 - 6,5 Tỷ",8
"Quận Bình Thạnh,  TP Hồ Chí Minh",50 m2,2 Tỷ,8
"Quận 10,  TP Hồ Chí Minh",63 m2,970 Triệu,8
"quận Ninh Kiều,  thành phố Cần Thơ",70 m2,"1,5 Tỷ",8
"Thành phố Quy Nhơn,  Bình Định",50 - 96 m2,"2,4 - 7,9 Tỷ",8
"Thành phố Quy Nhơn,  Bình Định",70 - 150 m2,"5,2 - 10 Tỷ",8
"Thành phố Quy Nhơn,  Bình Định",35 - 58 m2,499 - 1024 Triệu,8
"Huyện Bình Chánh,  TP Hồ Chí Minh",97 m2,"1,2 Tỷ",8
"Quận 8,  TP Hồ Chí Minh","59,5 m2","1,05 Tỷ",8
"Quận Nam Từ Liêm,  Hà Nội",80 m2,"22,5 Tỷ",8
"Quận Bình Thạnh,  TP Hồ Chí Minh",65 m2,950 Triệu,8
"Quận 7,  TP Hồ Chí Minh",60 m2,"1,69 Tỷ",8
"Huyện Bình Chánh,  TP Hồ Chí Minh",85 m2,970 Triệu,8
"Quận Gò Vấp,  TP Hồ Chí Minh",60 m2,"1,46 Tỷ",8
"Quận 7,  TP Hồ Chí Minh",58 m2,"1,22 Tỷ",8
"Quận Bình Thạnh,  TP Hồ Chí Minh","73,2 m2","18,5 Tỷ",8
"Quận Hà Đông,  Hà Nội",94 m2,23 Tỷ,8
"Quận Tây Hồ,  Hà Nội",267 m2,25 Tỷ,8
"Văn Giang,  tỉnh Hưng Yên",28 - 112 m2,"1,9 - 6,5 Tỷ",9
"Quận Bình Thạnh,  TP Hồ Chí Minh",50 m2,2 Tỷ,9
"Quận 10,  TP Hồ Chí Minh",63 m2,970 Triệu,9
"quận Ninh Kiều,  thành phố Cần Thơ",70 m2,"1,5 Tỷ",9
"Thành phố Quy Nhơn,  Bình Định",50 - 96 m2,"2,4 - 7,9 Tỷ",9
"Thành phố Quy Nhơn,  Bình Định",70 - 150 m2,"5,2 - 10 Tỷ",9
"Thành phố Quy Nhơn,  Bình Định",35 - 58 m2,499 - 1024 Triệu,9
"Huyện Bình Chánh,  TP Hồ Chí Minh",97 m2,"1,2 Tỷ",9
"Quận 8,  TP Hồ Chí Minh","59,5 m2","1,05 Tỷ",9
"Quận Nam Từ Liêm,  Hà Nội",80 m2,"22,5 Tỷ",9
"Quận Bình Thạnh,  TP Hồ Chí Minh",65 m2,950 Triệu,9
"Quận 7,  TP Hồ Chí Minh",60 m2,"1,69 Tỷ",9
"Huyện Bình Chánh,  TP Hồ Chí Minh",85 m2,970 Triệu,9
"Quận Gò Vấp,  TP Hồ Chí Minh",60 m2,"1,46 Tỷ",9
"Quận 7,  TP Hồ Chí Minh",58 m2,"1,22 Tỷ",9
"Quận Bình Thạnh,  TP Hồ Chí Minh","73,2 m2","18,5 Tỷ",9
"Quận Hà Đông,  Hà Nội",94 m2,23 Tỷ,9
"Quận Tây Hồ,  Hà Nội",267 m2,25 Tỷ,9
"Văn Giang,  tỉnh Hưng Yên",28 - 112 m2,"1,9 - 6,5 Tỷ",10
"Quận Bình Thạnh,  TP Hồ Chí Minh",50 m2,2 Tỷ,10
"Quận 10,  TP Hồ Chí Minh",63 m2,970 Triệu,10
"quận Ninh Kiều,  thành phố Cần Thơ",70 m2,"1,5 Tỷ",10
"Thành phố Quy Nhơn,  Bình Định",50 - 96 m2,"2,4 - 7,9 Tỷ",10
"Thành phố Quy Nhơn,  Bình Định",70 - 150 m2,"5,2 - 10 Tỷ",10
"Thành phố Quy Nhơn,  Bình Định",35 - 58 m2,499 - 1024 Triệu,10
"Huyện Bình Chánh,  TP Hồ Chí Minh",97 m2,"1,2 Tỷ",10
"Quận 8,  TP Hồ Chí Minh","59,5 m2","1,05 Tỷ",10
"Quận Nam Từ Liêm,  Hà Nội",80 m2,"22,5 Tỷ",10
"Quận Bình Thạnh,  TP Hồ Chí Minh",65 m2,950 Triệu,10
"Quận 7,  TP Hồ Chí Minh",60 m2,"1,69 Tỷ",10
"Huyện Bình Chánh,  TP Hồ Chí Minh",85 m2,970 Triệu,10
"Quận Gò Vấp,  TP Hồ Chí Minh",60 m2,"1,46 Tỷ",10
"Quận 7,  TP Hồ Chí Minh",58 m2,"1,22 Tỷ",10
"Quận Bình Thạnh,  TP Hồ Chí Minh","73,2 m2","18,5 Tỷ",10
"Quận Hà Đông,  Hà Nội",94 m2,23 Tỷ,10
"Quận Tây Hồ,  Hà Nội",267 m2,25 Tỷ,10
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,11
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",11
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",11
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",11
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",11
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,11
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,11
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",11
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,11
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",11
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",11
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,11
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",11
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",11
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,11
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",11
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",11
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",11
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,12
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",12
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",12
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",12
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",12
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,12
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,12
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",12
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,12
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",12
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",12
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,12
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",12
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",12
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,12
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",12
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",12
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",12
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,13
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",13
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",13
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",13
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",13
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,13
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,13
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",13
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,13
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",13
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",13
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,13
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",13
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",13
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,13
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",13
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",13
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",13
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,14
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",14
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",14
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",14
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",14
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,14
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,14
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",14
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,14
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",14
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",14
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,14
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",14
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",14
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,14
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",14
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",14
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",14
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,15
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",15
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",15
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",15
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",15
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,15
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,15
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",15
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,15
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",15
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",15
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,15
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",15
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",15
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,15
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",15
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",15
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",15
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,16
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",16
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",16
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",16
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",16
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,16
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,16
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",16
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,16
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",16
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",16
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,16
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",16
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",16
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,16
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",16
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",16
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",16
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,17
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",17
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",17
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",17
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",17
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,17
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,17
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",17
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,17
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",17
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",17
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,17
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",17
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",17
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,17
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",17
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",17
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",17
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,18
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",18
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",18
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",18
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",18
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,18
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,18
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",18
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,18
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",18
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",18
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,18
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",18
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",18
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,18
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",18
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",18
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",18
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,19
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",19
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",19
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",19
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",19
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,19
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,19
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",19
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,19
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",19
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",19
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,19
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",19
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",19
